0.3300	0.2900	0.9900	2.5000	29.3000	4.1600	4.0500	
0.3500	0.3500	0.9900	2.7000	35.4000	2.9800	2.9059	
0.1100	0.1000	0.8700	0.3000	8.9000	0.3600	0.6622	
0.1100	0.1000	0.8700	0.4000	8.9000	0.3200	0.3423	
0.1200	0.1100	0.8700	0.4000	9.8000	0.7600	0.6011	
0.1300	0.1200	0.8800	0.5000	10.8000	0.9400	0.7415	
0.1300	0.1200	0.8800	0.6000	10.8000	0.6900	0.4803	
0.1400	0.1300	0.8700	0.6000	11.5000	0.5500	0.5058	
0.1400	0.1300	0.8800	0.6000	11.7000	0.9400	0.7063	
0.1400	0.1300	0.8900	0.7000	11.8000	0.3500	0.6701	
0.1600	0.1500	0.8900	0.8000	13.6000	0.8700	0.8355	
0.1700	0.1600	0.9000	0.9000	14.7000	1.1500	1.0640	
0.1900	0.1700	0.9100	1.1000	15.8000	2.0200	1.3316	
0.2000	0.1800	0.9200	1.2000	16.9000	1.2300	1.5947	
0.2200	0.1900	0.9400	1.4000	18.2000	2.6800	2.4152	
0.2400	0.2100	0.9500	1.6000	20.4000	2.2100	2.7875	
0.2500	0.2200	0.9500	1.7000	21.3000	2.5800	2.6730	
0.2600	0.2300	0.9600	1.8000	22.5000	2.3500	2.9728	
0.2700	0.2400	0.9700	1.9000	23.8000	4.5500	3.3671	

0.6000	0.4700	0.7300	5.0000	35.0000	4.5400	 3.5975	
0.6000	0.4700	0.7500	5.0000	36.0000	6.3200	 5.7768	
0.5900	0.4600	0.7500	4.9000	35.2000	5.3300	 5.9941	
0.2000	0.1800	0.8400	1.2000	15.4000	0.9200	 0.6285	
0.1400	0.1300	0.8300	0.7000	11.0000	0.2000	 -0.1737	
0.1700	0.1500	0.8500	0.9000	13.0000	0.4800	 0.1659	
0.2700	0.2400	0.9400	1.8000	23.0000	2.0600	 2.1870	
0.3100	0.2700	0.9400	2.2000	25.9000	2.7300	 2.7312	
0.3200	0.2700	0.9500	2.3000	26.2000	3.4400	 3.3711	
0.3300	0.2800	0.9500	2.4000	27.1000	3.4700	 3.2867	
0.3700	0.3100	0.9600	2.8000	30.4000	4.1900	 4.3394	
0.1300	0.1300	0.8600	0.6000	11.4000	0.3300	 0.3256	
0.1300	0.1200	0.8700	0.5000	10.7000	0.4900	 0.6017	
0.2500	0.2300	1.0100	1.7000	23.7000	4.6800	 5.2966	
0.2900	0.2600	0.9900	2.1000	26.3000	4.3500	 3.9131	
0.1100	0.1000	0.8700	0.4000	8.9000	0.3200	 0.3338	
0.1400	0.1300	0.8700	0.6000	11.5000	0.5500	 0.4112	
0.2400	0.2100	0.9500	1.6000	20.4000	2.2100	 2.9330	

0.4600	0.3800	0.7000	3.7000	21.1000	3.6900	 3.6857	
0.5000	0.4100	0.7100	4.1000	29.7000	4.6600	 4.6158	
0.5800	0.4600	0.7200	4.8000	33.8000	3.3700	 3.4640	
0.5900	0.4700	0.7600	4.9000	36.4000	7.0500	 6.9828	
0.1500	0.1400	0.8300	0.7000	11.9000	0.3500	 0.5542	
0.1700	0.1600	0.8700	1.0000	14.2000	0.4500	 0.2797	
0.2400	0.2100	0.9300	1.6000	19.9000	1.3800	 2.0330	
0.3400	0.2900	0.9600	2.5000	28.4000	4.3300	 3.5062	
0.3400	0.3000	0.9600	2.6000	29.4000	3.0300	 3.4878	
0.3600	0.3100	0.9600	2.7000	30.4000	3.7500	 3.7113	
0.3700	0.3200	0.9700	2.8000	31.7000	3.4100	 3.7460	
0.1300	0.1300	0.8600	0.6000	11.4000	0.3300	 0.3256	
0.1500	0.1400	0.8800	0.7000	12.6000	0.5000	 0.7276	
0.1500	0.1400	0.8700	0.7000	12.4000	0.5900	 0.4435	
0.1500	0.1400	0.8800	0.7000	12.6000	0.5700	 0.7276	
0.1400	0.1300	0.8700	0.6000	11.5000	0.6500	 0.4112	
0.1300	0.1200	0.8700	0.6000	10.7000	0.3600	 0.2797	
0.1200	0.1200	0.8700	0.5000	10.7000	0.4500	 0.6160	
0.1200	0.1100	0.8600	0.4000	9.7000	0.3500	 0.4557	
0.1200	0.1100	0.8600	0.4000	9.7000	0.4900	 0.4557	
0.1100	0.1100	0.8500	0.4000	9.5000	0.3100	 0.1538	
0.1100	0.1000	0.8500	0.3000	8.7000	0.3200	 0.3150	
0.2900	0.2600	0.9800	2.1000	26.0000	3.5200	 3.4916	
0.2900	0.2500	0.9900	2.0000	25.3000	4.0800	 4.0611	
0.3000	0.2600	0.9800	2.1000	26.0000	3.3300	 3.4655	
0.3200	0.2800	1.0000	2.3000	28.6000	3.3700	 3.7490	
0.3300	0.2900	0.9900	2.5000	29.3000	4.1600	 3.8954	
0.3500	0.3500	0.9900	2.7000	35.4000	2.9800	 2.9144	
0.1100	0.1000	0.8700	0.3000	8.9000	0.3600	 0.6668	
0.1200	0.1100	0.8700	0.4000	9.8000	0.7600	 0.6212	
0.1300	0.1200	0.8800	0.5000	10.8000	0.9400	 0.7893	
0.1300	0.1200	0.8800	0.6000	10.8000	0.6900	 0.5195	
0.1400	0.1300	0.8800	0.6000	11.7000	0.9400	 0.7454	
0.1400	0.1300	0.8900	0.7000	11.8000	0.3500	 0.7383	
0.1600	0.1500	0.8900	0.8000	13.6000	0.8700	 0.8342	
0.1700	0.1600	0.9000	0.9000	14.7000	1.1500	 1.1336	
0.1900	0.1700	0.9100	1.1000	15.8000	2.0200	 1.3563	
0.2000	0.1800	0.9200	1.2000	16.9000	1.2300	 1.6452	
0.2200	0.1900	0.9400	1.4000	18.2000	2.6800	 2.5074	
0.2500	0.2200	0.9500	1.7000	21.3000	2.5800	 2.7089	
0.2600	0.2300	0.9600	1.8000	22.5000	2.3500	 3.0103	
0.2700	0.2400	0.9700	1.9000	23.8000	4.5500	 3.4685	
